time,datapoint,units
1,40.17,mm
2,806.86,mm
3,16206.17,mm
4,325509.58,mm
5,6538034.74,mm
6,131319938.27,mm
7,2637631468.97,mm
8,52978244259.69,mm
9,1064096481203.6,mm
10,21372949163048.89,mm
11,429287159571831.4,mm
12,8.622463094230374e+15,mm
13,1.7318680084798714e+17,mm
14,3.4785498830409943e+18,mm
15,6.986854211497003e+19,mm
16,1.403347182419523e+21,mm
17,2.8186981648538697e+22,mm
18,5.661506606549372e+23,mm
19,1.137143999867183e+25,mm
20,2.2840147796313613e+26,mm
21,4.5875663189392045e+27,mm
22,9.21437326866255e+28,mm
23,1.8507563451175507e+30,mm
24,3.717343490568242e+31,mm
25,7.466483993597974e+32,mm
26,1.499683399398018e+34,mm
27,3.012194629170048e+35,mm
28,6.050154644402258e+36,mm
29,1.2152060450113687e+38,mm
30,2.44080658863567e+39,mm
31,4.902491085840148e+40,mm
32,9.846916572024067e+41,mm
33,1.9778060638693789e+43,mm
34,3.972529672275287e+44,mm
35,7.979039141094387e+45,mm
36,1.602632852800109e+47,mm
37,3.2189741339230174e+48,mm
38,6.46548238216968e+49,mm
39,1.2986268511328843e+51,mm
40,2.608361756787248e+52,mm
41,5.239034637498091e+53,mm
42,1.0522882365332701e+55,mm
43,2.113577422872503e+56,mm
44,4.2452337367121486e+57,mm
45,8.526779896629381e+58,mm
46,1.712649524496437e+60,mm
47,3.439948526075299e+61,mm
48,6.909321313435039e+62,mm
49,1.38777428355167e+64,mm
50,2.787419161332737e+65,mm
51,5.598681048534949e+66,mm
52,1.1245251492149973e+68,mm
53,2.258669140561095e+69,mm
54,4.536658242000442e+70,mm
55,9.112121662758352e+71,mm
56,1.8302185610591104e+73,mm
57,3.676092248565616e+74,mm
58,7.383628659160865e+75,mm
59,1.4830414606068216e+77,mm
60,2.9787684015636482e+78,mm
61,5.983016271523136e+79,mm
62,1.2017209423371053e+81,mm
63,2.4137210358679802e+82,mm
64,4.8480882988201096e+83,mm
65,9.737645653282539e+84,mm
66,1.955858413139243e+86,mm
67,3.9284466373635495e+87,mm
68,7.8904959985538e+88,mm
69,1.5848484872121686e+90,mm
70,3.1832532807558128e+91,mm
71,6.393735130647915e+92,mm
72,1.284216030437108e+94,mm
73,2.5794168496694025e+95,mm
74,5.180897237432719e+96,mm
75,1.0406110275769585e+98,mm
76,2.0901231217073256e+99,mm
77,4.1981245135060756e+100,mm
78,8.432158492416553e+101,mm
79,1.693644307416031e+103,mm
80,3.401775527135129e+104,mm
81,6.832648795466881e+105,mm
82,1.3723741966452377e+107,mm
83,2.756487259914793e+108,mm
84,5.536552663731497e+109,mm
85,1.11204632954552e+111,mm
86,2.233604761238186e+112,mm
87,4.486315090365735e+113,mm
88,9.011004739659498e+114,mm
89,1.809908684134499e+116,mm
90,3.6352987702781477e+117,mm
91,7.3016927677240445e+118,mm
92,1.4665841968789364e+120,mm
93,2.9457131037375405e+121,mm
94,5.91662293102381e+122,mm
95,1.1883854834165756e+124,mm
96,2.3869360506143853e+125,mm
97,4.794289217790297e+126,mm
98,9.629587310436753e+127,mm
99,1.9341543147883677e+129,mm
100,3.88485279048245e+130,mm
