time,datapoint,units
1,-118.36,mm
2,-117.29,mm
3,-117.06,mm
4,-116.96,mm
5,-116.16,mm
6,-114.48,mm
7,-112.54,mm
8,-111.21,mm
9,-110.79,mm
10,-110.74,mm
11,-110.2,mm
12,-108.74,mm
13,-106.78,mm
14,-105.21,mm
15,-104.55,mm
16,-104.49,mm
17,-104.16,mm
18,-102.95,mm
19,-101.05,mm
20,-99.29,mm
21,-98.36,mm
22,-98.21,mm
23,-98.05,mm
24,-97.11,mm
25,-95.33,mm
26,-93.44,mm
27,-92.24,mm
28,-91.93,mm
29,-91.86,mm
30,-91.19,mm
31,-89.6,mm
32,-87.65,mm
33,-86.2,mm
34,-85.67,mm
35,-85.63,mm
36,-85.19,mm
37,-83.84,mm
38,-81.9,mm
39,-80.24,mm
40,-79.45,mm
41,-79.36,mm
42,-79.12,mm
43,-78.03,mm
44,-76.18,mm
45,-74.35,mm
46,-73.3,mm
47,-73.08,mm
48,-72.97,mm
49,-72.15,mm
50,-70.46,mm
51,-68.53,mm
52,-67.21,mm
53,-66.8,mm
54,-66.76,mm
55,-66.2,mm
56,-64.72,mm
57,-62.76,mm
58,-61.21,mm
59,-60.56,mm
60,-60.5,mm
61,-60.17,mm
62,-58.94,mm
63,-57.03,mm
64,-55.28,mm
65,-54.37,mm
66,-54.23,mm
67,-54.06,mm
68,-53.1,mm
69,-51.31,mm
70,-49.43,mm
71,-48.25,mm
72,-47.95,mm
73,-47.88,mm
74,-47.19,mm
75,-45.59,mm
76,-43.63,mm
77,-42.2,mm
78,-41.69,mm
79,-41.64,mm
80,-41.19,mm
81,-39.83,mm
82,-37.89,mm
83,-36.23,mm
84,-35.47,mm
85,-35.38,mm
86,-35.12,mm
87,-34.02,mm
88,-32.16,mm
89,-30.34,mm
90,-29.31,mm
91,-29.09,mm
92,-28.98,mm
93,-28.15,mm
94,-26.45,mm
95,-24.52,mm
96,-23.22,mm
97,-22.82,mm
98,-22.77,mm
99,-22.2,mm
100,-20.71,mm
