time,datapoint,units
1,-16.73,mm
2,-14.15,mm
3,-11.58,mm
4,-9.0,mm
5,-6.43,mm
6,-3.86,mm
7,-1.28,mm
8,1.29,mm
9,3.87,mm
10,6.44,mm
11,9.01,mm
12,11.59,mm
13,14.16,mm
14,16.74,mm
15,19.31,mm
16,21.88,mm
17,24.46,mm
18,27.03,mm
19,29.61,mm
20,32.18,mm
21,34.75,mm
22,37.33,mm
23,39.9,mm
24,42.48,mm
25,45.05,mm
26,47.62,mm
27,50.2,mm
28,52.77,mm
29,55.35,mm
30,57.92,mm
31,60.49,mm
32,63.07,mm
33,65.64,mm
34,68.22,mm
35,70.79,mm
36,73.36,mm
37,75.94,mm
38,78.51,mm
39,81.09,mm
40,83.66,mm
41,86.23,mm
42,88.81,mm
43,91.38,mm
44,93.96,mm
45,96.53,mm
46,99.1,mm
47,101.68,mm
48,104.25,mm
49,106.83,mm
50,109.4,mm
51,111.97,mm
52,114.55,mm
53,117.12,mm
54,119.7,mm
55,122.27,mm
56,124.84,mm
57,127.42,mm
58,129.99,mm
59,132.57,mm
60,135.14,mm
61,137.71,mm
62,140.29,mm
63,142.86,mm
64,145.44,mm
65,148.01,mm
66,150.58,mm
67,153.16,mm
68,155.73,mm
69,158.31,mm
70,160.88,mm
71,163.45,mm
72,166.03,mm
73,168.6,mm
74,171.18,mm
75,173.75,mm
76,176.32,mm
77,178.9,mm
78,181.47,mm
79,184.05,mm
80,186.62,mm
81,189.19,mm
82,191.77,mm
83,194.34,mm
84,196.92,mm
85,199.49,mm
86,202.06,mm
87,204.64,mm
88,207.21,mm
89,209.79,mm
90,212.36,mm
91,214.93,mm
92,217.51,mm
93,220.08,mm
94,222.66,mm
95,225.23,mm
96,227.8,mm
97,230.38,mm
98,232.95,mm
99,235.53,mm
100,238.1,mm
