time,datapoint,units
1,9.21,mm
2,22.32,mm
3,29.98,mm
4,35.42,mm
5,39.64,mm
6,43.09,mm
7,46.01,mm
8,48.53,mm
9,50.76,mm
10,52.75,mm
11,54.55,mm
12,56.2,mm
13,57.71,mm
14,59.11,mm
15,60.42,mm
16,61.64,mm
17,62.79,mm
18,63.87,mm
19,64.89,mm
20,65.86,mm
21,66.78,mm
22,67.66,mm
23,68.5,mm
24,69.31,mm
25,70.08,mm
26,70.82,mm
27,71.53,mm
28,72.22,mm
29,72.89,mm
30,73.53,mm
31,74.15,mm
32,74.75,mm
33,75.33,mm
34,75.89,mm
35,76.44,mm
36,76.97,mm
37,77.49,mm
38,78.0,mm
39,78.49,mm
40,78.97,mm
41,79.43,mm
42,79.89,mm
43,80.33,mm
44,80.77,mm
45,81.19,mm
46,81.61,mm
47,82.02,mm
48,82.41,mm
49,82.8,mm
50,83.19,mm
51,83.56,mm
52,83.93,mm
53,84.29,mm
54,84.64,mm
55,84.99,mm
56,85.33,mm
57,85.66,mm
58,85.99,mm
59,86.32,mm
60,86.63,mm
61,86.95,mm
62,87.25,mm
63,87.56,mm
64,87.85,mm
65,88.15,mm
66,88.44,mm
67,88.72,mm
68,89.0,mm
69,89.28,mm
70,89.55,mm
71,89.82,mm
72,90.08,mm
73,90.34,mm
74,90.6,mm
75,90.85,mm
76,91.1,mm
77,91.35,mm
78,91.6,mm
79,91.84,mm
80,92.07,mm
81,92.31,mm
82,92.54,mm
83,92.77,mm
84,93.0,mm
85,93.22,mm
86,93.44,mm
87,93.66,mm
88,93.88,mm
89,94.09,mm
90,94.3,mm
91,94.51,mm
92,94.72,mm
93,94.92,mm
94,95.12,mm
95,95.32,mm
96,95.52,mm
97,95.72,mm
98,95.91,mm
99,96.1,mm
100,96.29,mm
