time,datapoint,units
1,-108.45969769413186,mm
2,-106.41614683654714,mm
3,-101.98999249660045,mm
4,-94.65364362086362,mm
5,-84.71633781453677,mm
6,-73.03982971334963,mm
7,-60.2460977456567,mm
8,-46.14550003380862,mm
9,-29.91113026188468,mm
10,-10.839071529076449,mm
11,11.004425697988054,mm
12,34.843853958732495,mm
13,59.907446781450204,mm
14,86.13673721820783,mm
15,114.24031208714118,mm
16,145.04234051967663,mm
17,178.72483666194842,mm
18,214.66031670824407,mm
19,251.98870461818666,mm
20,290.4080820618134,mm
21,330.4522707397757,mm
22,373.0000391736054,mm
23,418.46716697966656,mm
24,466.424179007337,mm
25,515.9912028118634,mm
26,566.6469193223286,mm
27,618.7078611912661,mm
28,673.0373941336865,mm
29,730.251942470311,mm
30,790.1542514498876,mm
31,851.9147423578046,mm
32,914.8342233605065,mm
33,978.986723252777,mm
34,1045.1514297252154,mm
35,1114.0963077949084,mm
36,1185.8720363103726,mm
37,1259.7654140519453,mm
38,1334.9550736440474,mm
39,1411.26664293236,mm
40,1489.3330619383478,mm
41,1570.012660722476,mm
42,1653.6000146850117,mm
43,1739.5551133015206,mm
44,1826.9998433086478,mm
45,1915.5253219888177,mm
46,2005.5678220551154,mm
47,2098.007664530849,mm
48,2193.3598556605307,mm
49,2291.3005925437437,mm
50,2390.964966028492,mm
51,2491.7421541968138,mm
52,2593.8370092192044,mm
53,2698.0817172137877,mm
54,2805.170690167137,mm
55,2915.022126756262,mm
56,3026.853220107723,mm
57,3139.899866826969,mm
58,3254.119180135449,mm
59,3370.228919777024,mm
60,3489.0475870195846,mm
61,3610.741898364062,mm
62,3734.6735071623234,mm
63,3859.9858965815824,mm
64,3986.391857230429,mm
65,4114.437546148762,mm
66,4245.000352544033,mm
67,4378.48223020021,mm
68,4514.440143022496,mm
69,4651.993390379722,mm
70,4790.633319203086,mm
71,4930.690977271834,mm
72,5073.032749411726,mm
73,5218.263807281773,mm
74,5366.171717341831,mm
75,5515.921751269725,mm
76,5666.824331331108,mm
77,5818.969024968269,mm
78,5973.142196906755,mm
79,6130.104029053209,mm
80,6289.889612756161,mm
81,6451.776685982021,mm
82,6614.949677697882,mm
83,6779.249540117973,mm
84,6945.319976504413,mm
85,7114.015623356606,mm
86,7285.61630155505,mm
87,7459.569750334265,mm
88,7634.999373283695,mm
89,7811.510177044942,mm
90,7989.5519263838705,mm
91,8170.005632539072,mm
92,8353.373555552089,mm
93,8539.317428701519,mm
94,8726.96945936667,mm
95,8915.730173560994,mm
96,9105.81956955071,mm
97,9298.074852463404,mm
98,9493.180711754709,mm
99,9691.039820880393,mm
100,9890.862318872287,mm
