time,datapoint,units
1,-118.3585290151921,mm
2,-117.29070257317431,mm
3,-117.05887999194013,mm
4,-116.95680249530793,mm
5,-116.15892427466314,mm
6,-114.47941549819893,mm
7,-112.54301340128121,mm
8,-111.21064175337662,mm
9,-110.78788151475824,mm
10,-110.74402111088938,mm
11,-110.19999020655071,mm
12,-108.73657291800043,mm
13,-106.77983296317336,mm
14,-105.20939264430513,mm
15,-104.54971215984288,mm
16,-104.48790331666507,mm
17,-104.16139749187955,mm
18,-102.95098724677167,mm
19,-101.05012279033704,mm
20,-99.28705474927237,mm
21,-98.36334436146394,mm
22,-98.20885130929041,mm
23,-98.04622040417517,mm
24,-97.10557836200663,mm
25,-95.33235175009777,mm
26,-93.4374415495204,mm
27,-92.24362407159549,mm
28,-91.92909421169213,mm
29,-91.86363388421297,mm
30,-91.18803162409287,mm
31,-89.60403764532307,mm
32,-87.64857331875831,mm
33,-86.20008813989273,mm
34,-85.67091731387998,mm
35,-85.62818266949616,mm
36,-85.19177885344311,mm
37,-83.843538133357,mm
38,-81.90363142129061,mm
39,-80.23620461371591,mm
40,-79.45488683952065,mm
41,-79.35862266880471,mm
42,-79.11652154791564,mm
43,-78.0317747426286,mm
44,-76.18229807489459,mm
45,-74.34909647546588,mm
46,-73.2982116523512,mm
47,-73.07642687725479,mm
48,-72.96825466132367,mm
49,-72.15375265275947,mm
50,-70.46237485370393,mm
51,-68.52977082415663,mm
52,-67.21337240795953,mm
53,-66.80407484981816,mm
54,-66.75878904885161,mm
55,-66.19975517335862,mm
56,-64.72155100208691,mm
57,-62.76383524475218,mm
58,-61.20712735191547,mm
59,-60.563261992860866,mm
60,-60.50481062110222,mm
61,-60.1661177700084,mm
62,-58.939180696649224,mm
63,-57.032644299697196,mm
64,-55.27997396180321,mm
65,-54.3731713205099,mm
66,-54.226551154023966,mm
67,-54.055519978975326,mm
68,-53.097927680689295,mm
69,-51.31478481378319,mm
70,-49.426109318442116,mm
71,-48.24894534674563,mm
72,-47.94617663723797,mm
73,-47.87677195688731,mm
74,-47.185146260468244,mm
75,-45.58778163540943,mm
76,-43.63389236310182,mm
77,-42.200479841419266,mm
78,-41.68602154401246,mm
79,-41.64411266870751,mm
80,-41.19388865392338,mm
81,-39.82988799427446,mm
82,-37.88677121756692,mm
83,-36.23163553889982,mm
84,-35.46680967992671,mm
85,-35.376075619948594,mm
86,-35.12345844700407,mm
87,-34.02181783663083,mm
88,-32.16460169726635,mm
89,-30.33993059418755,mm
90,-29.306003336399442,mm
91,-29.09401248824885,mm
92,-28.97946606961581,mm
93,-28.148282141269945,mm
94,-26.445251985467664,mm
95,-24.516738285263884,mm
96,-23.216412254565654,mm
97,-22.820392260972483,mm
98,-22.773381871990424,mm
99,-22.199206834186356,mm
100,-20.706365641109755,mm
