time,datapoint,units
1,7.785983936341773,mm
2,31.573721800506323,mm
3,128.03775559857615,mm
4,519.2187022582127,mm
5,2105.5356641826397,mm
6,8538.368155583708,mm
7,34624.79026143069,mm
8,140410.44832015756,mm
9,569392.445372549,mm
10,2309000.2255963697,mm
11,9363457.63828273,mm
12,37970693.10431559,mm
13,153978753.41769022,mm
14,624414635.7542007,mm
15,2532126210.2077694,mm
16,10268278123.68106,mm
17,41639921106.70328,mm
18,168858206691.31833,mm
19,684753794176.0844,mm
20,2776813563439.628,mm
21,11260534270394.207,mm
22,45663718199955.836,mm
23,185175508530465.22,mm
24,750923716053187.0,mm
25,3.045145828441781e+15,mm
26,1.2348675262534292e+16,mm
27,5.007634751520464e+16,mm
28,2.0306960278335994e+17,mm
29,8.234878464742413e+17,mm
30,3.3394078877193544e+18,mm
31,1.3541966755560352e+19,mm
32,5.4915383138159935e+19,mm
33,2.2269285988112843e+20,mm
34,9.030640780064965e+20,mm
35,3.662105419190582e+21,mm
36,1.4850569774483328e+22,mm
37,6.022203005710922e+22,mm
38,2.4421237429090798e+23,mm
39,9.903300121275478e+23,mm
40,4.0159862323449407e+24,mm
41,1.6285627236253849e+25,mm
42,6.604147502850124e+25,mm
43,2.678113873459512e+26,mm
44,1.0860287290859261e+27,mm
45,4.4040636661816046e+27,mm
46,1.7859358833081453e+28,mm
47,7.242327134777947e+28,mm
48,2.936908475682956e+29,mm
49,1.1909751153215433e+30,mm
50,4.8296422481647824e+30,mm
51,1.9585165084629296e+31,mm
52,7.942176080183666e+31,mm
53,3.220711217703509e+32,mm
54,1.3060628023247614e+33,mm
55,5.296345832684465e+33,mm
56,2.147774144509979e+34,mm
57,8.709653639606766e+34,mm
58,3.531938715056164e+35,mm
59,1.432271776019326e+36,mm
60,5.808148458626167e+36,mm
61,2.3553203436849576e+37,mm
62,9.551294979619881e+37,mm
63,3.873241108467792e+38,mm
64,1.570676721464011e+39,mm
65,6.369408188804594e+39,mm
66,2.582922387606037e+40,mm
67,1.0474266780582428e+41,mm
68,4.247524630133977e+41,mm
69,1.7224561739291342e+42,mm
70,6.984904219408868e+42,mm
71,2.8325183358959825e+43,mm
72,1.1486428261812387e+44,mm
73,4.657976350646492e+44,mm
74,1.888902554270504e+45,mm
75,7.659877575450612e+45,mm
76,3.106233529000132e+46,mm
77,1.2596398103813221e+47,mm
78,5.108091317294526e+47,mm
79,2.0714331740532448e+48,mm
80,8.400075738741724e+48,mm
81,3.4063986857237904e+49,mm
82,1.3813627837406935e+50,mm
83,5.60170231482568e+50,mm
84,2.271602304135496e+51,mm
85,9.211801588414471e+51,mm
86,3.735569749591829e+52,mm
87,1.514848232469084e+53,mm
88,6.143012502083291e+53,mm
89,2.491114409477472e+54,mm
90,1.010196707071925e+55,mm
91,4.096549653024692e+55,mm
92,1.6612328017123152e+56,mm
93,6.7366312024251045e+56,mm
94,2.7318386628719237e+57,mm
95,1.1078152055103287e+58,mm
96,4.492412184655409e+58,mm
97,1.8217629742267327e+59,mm
98,7.387613152683144e+59,mm
99,2.9958248611822138e+60,mm
100,1.2148668877738632e+61,mm
