time,datapoint,units
1,18.5,mm
2,24.9,mm
3,31.300000000000004,mm
4,37.7,mm
5,44.1,mm
6,50.50000000000001,mm
7,56.900000000000006,mm
8,63.300000000000004,mm
9,69.7,mm
10,76.1,mm
11,82.5,mm
12,88.9,mm
13,95.3,mm
14,101.7,mm
15,108.1,mm
16,114.5,mm
17,120.9,mm
18,127.3,mm
19,133.70000000000002,mm
20,140.1,mm
21,146.5,mm
22,152.9,mm
23,159.3,mm
24,165.70000000000002,mm
25,172.1,mm
26,178.5,mm
27,184.9,mm
28,191.3,mm
29,197.70000000000002,mm
30,204.1,mm
31,210.5,mm
32,216.9,mm
33,223.3,mm
34,229.70000000000002,mm
35,236.1,mm
36,242.5,mm
37,248.9,mm
38,255.3,mm
39,261.70000000000005,mm
40,268.1,mm
41,274.50000000000006,mm
42,280.90000000000003,mm
43,287.3,mm
44,293.70000000000005,mm
45,300.1,mm
46,306.50000000000006,mm
47,312.90000000000003,mm
48,319.30000000000007,mm
49,325.70000000000005,mm
50,332.1,mm
51,338.50000000000006,mm
52,344.90000000000003,mm
53,351.30000000000007,mm
54,357.70000000000005,mm
55,364.1,mm
56,370.50000000000006,mm
57,376.90000000000003,mm
58,383.30000000000007,mm
59,389.70000000000005,mm
60,396.1,mm
61,402.50000000000006,mm
62,408.90000000000003,mm
63,415.30000000000007,mm
64,421.70000000000005,mm
65,428.1,mm
66,434.50000000000006,mm
67,440.90000000000003,mm
68,447.30000000000007,mm
69,453.70000000000005,mm
70,460.1,mm
71,466.50000000000006,mm
72,472.90000000000003,mm
73,479.30000000000007,mm
74,485.70000000000005,mm
75,492.1,mm
76,498.50000000000006,mm
77,504.90000000000003,mm
78,511.30000000000007,mm
79,517.7,mm
80,524.1,mm
81,530.5,mm
82,536.9000000000001,mm
83,543.3000000000001,mm
84,549.7,mm
85,556.1,mm
86,562.5,mm
87,568.9000000000001,mm
88,575.3000000000001,mm
89,581.7,mm
90,588.1,mm
91,594.5,mm
92,600.9000000000001,mm
93,607.3000000000001,mm
94,613.7,mm
95,620.1,mm
96,626.5000000000001,mm
97,632.9000000000001,mm
98,639.3000000000001,mm
99,645.7,mm
100,652.1,mm
